partition_alpha,batch_size,lr,wd,epochs,client_num_in_total,cut_layer,num_ln,agg_type,ln_upscale,random_seed,db_id,config_id
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 2.0, 0.0, 0.0, 0.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 2.0, 0.0, 1.0, 1.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 2.0, 0.0, 2.0, 2.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 2.0, 0.0, 3.0, 3.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 2.0, 0.0, 4.0, 4.0
0.129665117537604, 32.0, 7.19781876906885e-06, 0.000401378302384625, 15.0, 12.0, 5.0, 7.0, 1.0, 2.0, 0.0, 0.0, 5.0
0.129665117537604, 32.0, 7.19781876906885e-06, 0.000401378302384625, 15.0, 12.0, 5.0, 7.0, 1.0, 2.0, 0.0, 1.0, 6.0
0.129665117537604, 32.0, 7.19781876906885e-06, 0.000401378302384625, 15.0, 12.0, 5.0, 7.0, 1.0, 2.0, 0.0, 2.0, 7.0
0.129665117537604, 32.0, 7.19781876906885e-06, 0.000401378302384625, 15.0, 12.0, 5.0, 7.0, 1.0, 2.0, 0.0, 3.0, 8.0
0.129665117537604, 32.0, 7.19781876906885e-06, 0.000401378302384625, 15.0, 12.0, 5.0, 7.0, 1.0, 2.0, 0.0, 4.0, 9.0
0.10330768043240404, 16.0, 0.00506861212044891, 0.00027964859516062436, 15.0, 17.0, 2.0, 6.0, 0.0, 2.0, 0.0, 0.0, 10.0
0.10330768043240404, 16.0, 0.00506861212044891, 0.00027964859516062436, 15.0, 17.0, 2.0, 6.0, 0.0, 2.0, 0.0, 1.0, 11.0
0.10330768043240404, 16.0, 0.00506861212044891, 0.00027964859516062436, 15.0, 17.0, 2.0, 6.0, 0.0, 2.0, 0.0, 2.0, 12.0
0.10330768043240404, 16.0, 0.00506861212044891, 0.00027964859516062436, 15.0, 17.0, 2.0, 6.0, 0.0, 2.0, 0.0, 3.0, 13.0
0.10330768043240404, 16.0, 0.00506861212044891, 0.00027964859516062436, 15.0, 17.0, 2.0, 6.0, 0.0, 2.0, 0.0, 4.0, 14.0
0.5404103854647327, 32.0, 6.870101665590024e-06, 1.4742753159914664e-05, 15.0, 15.0, 4.0, 5.0, 1.0, 2.0, 0.0, 0.0, 15.0
0.5404103854647327, 32.0, 6.870101665590024e-06, 1.4742753159914664e-05, 15.0, 15.0, 4.0, 5.0, 1.0, 2.0, 0.0, 1.0, 16.0
0.5404103854647327, 32.0, 6.870101665590024e-06, 1.4742753159914664e-05, 15.0, 15.0, 4.0, 5.0, 1.0, 2.0, 0.0, 2.0, 17.0
